a,b,r
ARTICLE I: EXISTENCE AND POWERS OF THE CITY AND COUNTY,SEC. 1.100. NAME AND BOUNDARIES.,SUBSECTION_OF
ARTICLE I: EXISTENCE AND POWERS OF THE CITY AND COUNTY,SEC. 1.101. RIGHTS AND POWERS.,SUBSECTION_OF
ARTICLE II: LEGISLATIVE BRANCH,SEC. 2.100. COMPOSITION AND SALARY.,SUBSECTION_OF
ARTICLE II: LEGISLATIVE BRANCH,SEC. 2.101. TERM OF OFFICE.,SUBSECTION_OF
ARTICLE II: LEGISLATIVE BRANCH,SEC. 2.103. MEETINGS.,SUBSECTION_OF
ARTICLE II: LEGISLATIVE BRANCH,SEC. 2.104. QUORUM.,SUBSECTION_OF
ARTICLE II: LEGISLATIVE BRANCH,SEC. 2.105. ORDINANCES AND RESOLUTIONS.,SUBSECTION_OF
ARTICLE II: LEGISLATIVE BRANCH,SEC. 2.106. VETO OVERRIDE.,SUBSECTION_OF
ARTICLE II: LEGISLATIVE BRANCH,SEC. 2.107. EMERGENCY ORDINANCES.,SUBSECTION_OF
ARTICLE II: LEGISLATIVE BRANCH,SEC. 2.108. PUBLIC'S RIGHT TO KNOW.,SUBSECTION_OF
ARTICLE II: LEGISLATIVE BRANCH,"SEC. 2.109. RATES, FEES AND SIMILAR CHARGES.",SUBSECTION_OF
ARTICLE II: LEGISLATIVE BRANCH,SEC. 2.112. FIDELITY BONDS.,SUBSECTION_OF
ARTICLE II: LEGISLATIVE BRANCH,SEC. 2.113. LEGISLATIVE INITIATIVE.,SUBSECTION_OF
ARTICLE II: LEGISLATIVE BRANCH,SEC. 2.114. NON-INTERFERENCE IN ADMINISTRATION.,SUBSECTION_OF
ARTICLE II: LEGISLATIVE BRANCH,SEC. 2.115. FINANCIAL AUDIT.,SUBSECTION_OF
ARTICLE II: LEGISLATIVE BRANCH,SEC. 2.116. PRESIDENT OF THE BOARD OF SUPERVISORS.,SUBSECTION_OF
ARTICLE II: LEGISLATIVE BRANCH,SEC. 2.117. OFFICES OF THE BOARD OF SUPERVISORS.,SUBSECTION_OF
ARTICLE III: EXECUTIVE BRANCH – OFFICE OF MAYOR,SEC. 3.100. POWERS AND RESPONSIBILITIES.,SUBSECTION_OF
ARTICLE III: EXECUTIVE BRANCH – OFFICE OF MAYOR,SEC. 3.101. TERM OF OFFICE.,SUBSECTION_OF
ARTICLE III: EXECUTIVE BRANCH – OFFICE OF MAYOR,SEC. 3.102. ABSENCE FROM STATE OR TEMPORARY DISABILITY.,SUBSECTION_OF
ARTICLE III: EXECUTIVE BRANCH – OFFICE OF MAYOR,SEC. 3.103. VETO POWER.,SUBSECTION_OF
ARTICLE III: EXECUTIVE BRANCH – OFFICE OF MAYOR,SEC. 3.104. CITY ADMINISTRATOR.,SUBSECTION_OF
ARTICLE III: EXECUTIVE BRANCH – OFFICE OF MAYOR,SEC. 3.105. CONTROLLER; CITY SERVICES AUDITOR.,SUBSECTION_OF
"ARTICLE IV: EXECUTIVE BRANCH – BOARDS, COMMISSIONS AND DEPARTMENTS",SEC. 4.100. GENERAL.,SUBSECTION_OF
"ARTICLE IV: EXECUTIVE BRANCH – BOARDS, COMMISSIONS AND DEPARTMENTS",SEC. 4.101. BOARDS AND COMMISSIONS – COMPOSITION,SUBSECTION_OF
